noun Afranius voc_sg {{la-decl-2nd|num=sg|Afrāni}}
noun Agrius voc_sg {{la-decl-2nd|num=sg|Agri}}
noun Agrius voc_sg {{la-decl-2nd|num=sg|Agri}}
noun Albinius voc_sg {{la-decl-2nd|num=sg|Albini}}
noun Albius voc_sg {{la-decl-2nd|num=sg|Albi}}
noun Albucius voc_sg {{la-decl-2nd|num=sg|Albūci}}
noun Alfius voc_sg {{la-decl-2nd|num=sg|Alfi}}
noun Alledius voc_sg {{la-decl-2nd|num=sg|Alledi}}
noun Alsium voc_sg {{la-decl-2nd|loc=1|num=sg|Alsi}}
noun Amafinius voc_sg {{la-decl-2nd|num=sg|Amafini}}
noun Ambivius voc_sg {{la-decl-2nd|num=sg|Ambivi}}
noun Ampius voc_sg {{la-decl-2nd|num=sg|Ampi}}
noun Amulius voc_sg {{la-decl-2nd|Amūli|num=sg}}
noun Ancharius voc_sg {{la-decl-2nd|num=sg|Anchāri}}
noun Ancilius voc_sg {{la-decl-2nd|num=sg|Ancili}}
noun Andrius voc_sg {{la-decl-2nd|num=sg|Andri}}
noun Anicius voc_sg {{la-decl-2nd|num=sg|Anici}}
noun Annius voc_sg {{la-decl-2nd|num=sg|Anni}}
noun Ansibarii voc_sg {{la-decl-2nd|num=pl|Ansibari}}
noun Antistius voc_sg {{la-decl-2nd|num=sg|Antisti}}
noun Apicius voc_sg {{la-decl-2nd|num=sg|Apīci}}
noun Aponius voc_sg {{la-decl-2nd|num=sg|Apōni}}
noun Apronius voc_sg {{la-decl-2nd|num=sg|Āprōni}}
noun Apustius voc_sg {{la-decl-2nd|num=sg|Apusti}}
noun Aquilius voc_sg {{la-decl-2nd|num=sg|Aquili}}
noun Aquinius voc_sg {{la-decl-2nd|num=sg|Aquīni}}
noun Arellius voc_sg {{la-decl-2nd|num=sg|Arelli}}
noun Arennius voc_sg {{la-decl-2nd|num=sg|Arenni}}
noun Aristius voc_sg {{la-decl-2nd|num=sg|Aristi}}
noun Arius voc_sg {{la-decl-2nd|num=sg|Ari}}
noun Arminius voc_sg {{la-decl-2nd|Armini|num=sg}}
noun Aroanius voc_sg {{la-decl-2nd|num=sg|Aroani}}
noun Arpineius voc_sg {{la-decl-2nd|num=sg|Arpinēi}}
noun Arrius voc_sg {{la-decl-2nd|num=sg|Arri}}
noun Arruntius voc_sg {{la-decl-2nd|num=sg|Arrunti}}
noun Articuleius voc_sg {{la-decl-2nd|num=sg|Articulēi}}
noun Artorius voc_sg {{la-decl-2nd|num=sg|Artori}}
noun Arvii voc_sg {{la-decl-2nd|num=pl|Arvi}}
noun Ascanius voc_sg {{la-decl-2nd|num=sg|Ascani}}
noun Asellius voc_sg {{la-decl-2nd|num=sg|Aselli}}
noun Asidius voc_sg {{la-decl-2nd|num=sg|Asidi}}
noun Asinius voc_sg {{la-decl-2nd|num=sg|Asini}}
noun Ateius voc_sg {{la-decl-2nd|num=sg|Atēi}}
noun Aternius voc_sg {{la-decl-2nd|num=sg|Aterni}}
noun Atilius voc_sg {{la-decl-2nd|num=sg|Atīli}}
noun Atinius voc_sg {{la-decl-2nd|num=sg|Atīni}}
noun Atius voc_sg {{la-decl-2nd|num=sg|Ati}}
noun Atrius voc_sg {{la-decl-2nd|num=sg|Ātri}}
noun Aufeius voc_sg {{la-decl-2nd|num=sg|Aufēi}}
noun Aufidius voc_sg {{la-decl-2nd|num=sg|Aufidi}}
noun Aurius voc_sg {{la-decl-2nd|num=sg|Auri}}
noun Aurunculeius voc_sg {{la-decl-2nd|num=sg|Aurunculēi}}
